Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Coating/Sealant application (product.metafields.shopify.coating-sealant-application),Color (product.metafields.shopify.color-pattern),Hardware material (product.metafields.shopify.hardware-material),Material (product.metafields.shopify.material),Style (product.metafields.shopify.style),Suitable for material type (product.metafields.shopify.suitable-for-material-type),Suitable location (product.metafields.shopify.suitable-location),Suitable space (product.metafields.shopify.suitable-space),Tile design (product.metafields.shopify.tile-design),Tile look (product.metafields.shopify.tile-look),Tile material (product.metafields.shopify.tile-material),Tile texture (product.metafields.shopify.tile-texture),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Status
custom-stair-nosing,Custom Stair Nosing,"<p>✅ <span>20mm x 20mm Concave Scotia<br>✅ Waterproof<br>✅ 2.4m Length<br></span><span></span></p>
<p> </p>",Northern TILE Distributors,Uncategorized,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,12.50,,true,true,,,,,"",,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
carrara,Carrara,<p>✅Boards – 605mm x 310mm x 7mm<br>✅0.5mm Wear Layer<br>✅Rigid Core Construction<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅1.867m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,T36004,0.0,,deny,manual,43.50,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/T36004_Carrara_optimized.jpg?v=1773207929,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
concrete,Concrete,<p>✅Boards – 605mm x 310mm x 7mm<br>✅0.5mm Wear Layer<br>✅Rigid Core Construction<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅1.867m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,T36213,0.0,,deny,manual,43.50,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/T36213_Concrete_optimized.jpg?v=1773208031,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
moon-grey,Moon Grey,<p>✅Boards – 605mm x 310mm x 7mm<br>✅0.5mm Wear Layer<br>✅Rigid Core Construction<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅1.867m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,T36164,0.0,,deny,manual,43.50,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/T36164_Moon_Grey_bbfe5cec-f2b5-4dd3-bfaf-dec6ab817ea4.jpg?v=1773051781,1,"",false,,,,,,,,,,,,,,,,,gray,,,modern; minimalist,,bathroom; kitchen; hallway; living-room,indoors,,,,,,kg,,,true,,,true,,,active
terrazzo-grey,Terrazzo Grey,<p>✅Boards – 605mm x 310mm x 7mm<br>✅0.5mm Wear Layer<br>✅Rigid Core Construction<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅1.867m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,T3601,0.0,,deny,manual,43.50,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/T3601_Terrazzo_Grey_6548ce8d-0e44-4f1e-81cb-df1d4979c1ac.jpg?v=1773051628,1,"",false,,,,,,,,,,,,,,,,,gray,,,minimalist; modern,,bathroom; kitchen; hallway; living-room,indoors,,,,,,kg,,,true,,,true,,,active
dark-oak,Dark Oak,<p>✅Herringbone Boards – 640mm x 228mm x 7mm<br>✅0.5mm Wear Layer<br>✅5mm Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅1.64m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,H4414,0.0,,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/H4414_Dark_Oak_1.jpg?v=1773050416,1,"",false,,,,,,,,,,,,,,,,,geometric,,wood,classic; traditional,,living-room; bedroom; hallway; dining-room,indoors,,,,,,kg,,,true,,,true,,,active
smoked-oak,Smoked Oak,<p>✅Herringbone Boards – 640mm x 228mm x 7mm<br>✅0.5mm Wear Layer<br>✅5mm Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅1.64m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,H4406,0.0,,deny,manual,48.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/H8506_Natural_Oak_2.jpg?v=1773050305,1,"",false,,,,,,,,,,,,,,,,,beige-1,,wood,classic; traditional,,living-room; bedroom; hallway; dining-room,indoors,,,,,,kg,,,true,,,true,,,active
hatton-oak-1,Hatton Oak,<p>✅Herringbone Boards – 640mm x 228mm x 7mm<br>✅0.5mm Wear Layer<br>✅5mm Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅1.64m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,H4418,0.0,,deny,manual,48.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/H4418_Hatton_Oak_optimized.jpg?v=1773208151,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
blackbutt-2,Blackbutt,<p>✅Herringbone Boards – 640mm x 228mm x 7mm<br>✅0.5mm Wear Layer<br>✅5mm Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅1.64m² per box</p>,Northern TILE Distributors,Hardware > Building Materials > Flooring & Carpet,"","",true,Title,Default Title,,,,,,,,H4416,0.0,,deny,manual,48.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/H4416_Blackbutt_optimized.jpg?v=1773208397,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
natural-oak-1,Natural Oak,<p>✅Herringbone Boards – 640mm x 228mm x 7mm<br>✅0.5mm Wear Layer<br>✅5mm Rigid Core<br>✅2mm Pre-Attached Acoustic Backing<br>✅100% Waterproof<br>✅1.64m² per box</p>,Northern TILE Distributors,Uncategorized,"","",true,Title,Default Title,,,,,,,,H8506,0.0,,deny,manual,48.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0463/9267/2415/files/H8506_Natural_Oak_1.jpg?v=1773049734,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
